Entry	merged_ids
O94916	[' 23219947', ' 15489334', ' 24275569', ' 26299924', ' 32739873', ' 21418859', ' 28485155', ' 22190034', ' 31827081', ' 22992674', ' 22071693', ' 20711500', ' 29052520', ' 22768306', ' 29661287', ' 33903620', ' 20237496', ' 28192374', ' 32468035', ' 19138132', ' 25755297', ' 32165301', ' 21717420', ' 17440116', ' 21982764', ' 25057011', ' 20351292', ' 12379312', ' 20628086', ' 28112733', ' 25995271', '11046013', ' 33542263', ' 34064510', ' 16782704', ' 32045906', ' 21289293', ' 34208226', ' 27368804', ' 28356704', ' 20041176', ' 22496647', ' 27628063', ' 31504797', ' 26912969', ' 33313823', ' 33114289', ' 11936849', ' 22497815', ' 26495302', ' 24355664', ' 25834072', ' 11528118', ' 34383982', ' 19886771', ' 18367666', ' 31429763', ' 32157251', ' 25391900', ' 11233530', ' 12538727', ' 26506053', ' 23902751', '10051678', ' 28840417', ' 10048485', ' 24614757', ' 33921209', ' 15173573', ' 11780147', ' 21037089', ' 20585028', ' 28360221', ' 33398376', ' 23186163', ' 11877454', ' 27230578', ' 25772364', ' 19913121', ' 25928084', ' 33015193', ' 21209322', ' 19750013', ' 25878490', ' 20677014', ' 30190682', ' 17148781', ' 34049076', ' 18411282', ' 27833920', ' 33544297', ' 10377394', ' 18669648', ' 33373321', ' 25218447', ' 21757659', ' 16644704', ' 17173480', ' 18606815', ' 12080349', ' 29158465', ' 31057560', ' 25114211', ' 32828883', ' 22619484', ' 27764768', ' 32901097', ' 15840767', ' 12359721', ' 31883300', ' 11792870', ' 26757802', ' 29794013', ' 10565538', ' 15616553', ' 27160066', ' 21749466', ' 11934689', ' 12482947', ' 22266867', ' 30383452', ' 20685965', ' 23764852', ' 30900402', ' 29220410']
Q16649	[' 33326746', ' 28365317', ' 15489334', ' 7565758', ' 23414517', ' 19839995', ' 19129193', ' 23555304', ' 23340290', ' 19690332', ' 29215740', ' 25114211', ' 26880402', ' 20102225', ' 25338303', ' 8836190', ' 18829486', ' 29311361', ' 33013924', ' 12865428', ' 29467226', ' 9428527', '1620116', ' 31886210', ' 26102033', ' 20186462', ' 29856483', ' 25609649', ' 32191636', ' 23186163', ' 19058789', ' 19330005', ' 23630076', ' 14702039', ' 9427249', ' 10942106', ' 17081983', ' 25772364', ' 19693801', ' 24062447', ' 25755297', ' 21282530', ' 23283977', ' 20174623', ' 18937294', ' 9619629', ' 22947103', ' 16630563', ' 15699353', ' 28112733', ' 18669648', ' 20068231', ' 30250199', ' 18317514', ' 25416956', ' 21516116', ' 20379614', ' 25218447', ' 30153899', ' 24280221', ' 21150319', '12805554', ' 15164053']
Q9UBN7	[' 27419634', ' 27369083', ' 30666796', ' 24255178', ' 33346336', ' 30538141', ' 26657153', ' 21220424', ' 20018896', ' 24658140', ' 23752268', ' 14743216', ' 25070956', ' 29384425', ' 28265093', ' 19081074', ' 26848526', ' 18996840', ' 25031336', ' 25299772', ' 22766642', ' 25342804', ' 22384180', ' 22936009', ' 16919237', ' 17872950', ' 33965456', '10491388', ' 21340680', ' 21421902', ' 9694793', ' 11948178', ' 22896792', ' 30096875', ' 30044986', ' 32859943', ' 16738306', ' 32591593', ' 23798680', ' 24614595', ' 23159615', ' 27900262', ' 29135973', ' 29414656', ' 33654196', ' 21044318', ' 20029029', ' 9038169', ' 32382008', ' 28674407', ' 28749131', ' 33216461', ' 20133936', ' 33589921', ' 10048485', ' 26105074', ' 26747087', ' 20360068', ' 33896334', ' 23634874', ' 27993968', ' 18568448', ' 15916966', ' 22372633', ' 25609649', ' 28499252', ' 23186163', ' 28586053', ' 18499657', ' 19913121', ' 17846173', ' 18180281', ' 30106132', ' 17474147', ' 25482939', ' 12354939', ' 24089523', ' 19893491', ' 22193721', ' 27267806', ' 21455583', ' 34969757', ' 20008322', ' 26116270', ' 32796032', ' 22792322', ' 26775640', ' 29259132', ' 27499032', ' 2799391', ' 31264358', ' 17643370', ' 28195408', ' 26328501', ' 19383825', ' 26086159', ' 20181727', ' 24302573', ' 26119938', ' 28452069', ' 33199827', ' 21282471', ' 21076528', ' 26382850', ' 21847094', ' 30038235', ' 22645275', ' 24474778', ' 24025866', ' 12792815', ' 20711500', ' 28855742', ' 27404291', ' 12391164', ' 26150340', ' 18374649', ' 23370327', ' 21157427', ' 21238931', ' 11533236', ' 27221381', ' 20970878', ' 25946558', ' 23010497', ' 9864362', ' 17851643', ' 21562571', ' 24200693', ' 30444165', ' 28053023', ' 24308962', ' 24189400', ' 33139698', ' 33237772', ' 19910924', ' 27959772', ' 23487739', ' 11112321', ' 26227334', ' 25111897', ' 23258539', ' 18606987', ' 28668087', ' 30273544', ' 25770209', ' 27222932', ' 24146251', ' 20520769', ' 18636984', ' 33694180', ' 19855091', ' 17785525', ' 12620231', ' 23084749', ' 7588063', ' 29730163', ' 34694026', ' 2204156', ' 18079183', ' 32885602', ' 19167333', ' 27358110', ' 26246421', '10220385', ' 14675537', ' 8662539', ' 26112604', ' 15937340', ' 26643555', ' 21952047', ' 24220335', ' 16751179', ' 24413532', ' 25774669', ' 22589388', ' 29019676', ' 21900206', ' 31505170', ' 22089141', ' 19036992', ' 18356165', ' 28737768', ' 21082217', ' 34329468', ' 29222038', ' 25036637', ' 30286953', ' 21699378', ' 22967444', ' 27362804', ' 28342984', ' 23093407', ' 23402884', ' 21377170', ' 21284752', ' 22492994', ' 25429107', ' 29643474', ' 26363102', ' 22955928', ' 22334690', ' 33933678', ' 26763233', ' 29355491', ' 28866885', ' 32880591', ' 23618908', ' 30909412', ' 17389687', ' 21847364', ' 19033385', ' 28128740', ' 34301959', ' 21269460', ' 19228685', ' 24086678', ' 32221047', ' 18644871', ' 33077731', ' 19744931', ' 26524593', ' 32107418', ' 22069321', ' 15501975', ' 10713164', ' 15347674', ' 33326746', ' 31755702', ' 16530045', ' 27422033', ' 18794144', ' 32284336', ' 24216476', ' 31894849', ' 21235576', ' 24882211', ' 24474193', ' 16148047', ' 23152903', ' 25961502', ' 28035401', ' 22375943', ' 24687993', ' 21913213', ' 22392728', ' 17516032', ' 26783207', ' 29980788', ' 26461065', ' 16192271', ' 32203162', ' 20102703', ' 27454933', ' 23727580', ' 26388610', ' 29741882', ' 25422469', ' 18413721', ' 24574519', ' 34314149', ' 29176689', ' 15489334', ' 14980219', ' 24275569', ' 21486957', ' 27090797', ' 30443180', ' 33404279', ' 22124372', ' 22504143', ' 24618845', ' 19344692', ' 20720006', ' 15175163', ' 28271209', ' 20308065', ' 23181831', ' 29427610', ' 30770470', ' 11082038', ' 26643866', ' 32939037', ' 33910280', ' 20628086', ' 26496610', ' 28854366', ' 20797626', ' 18671804', ' ', ' 27311481', ' 29523311', ' 32985730', ' 12032081', ' 22957056', ' 20696758', ' 23962722', ' 17604723', ' 22778253', ' 26746851', ' 29775292', ' 23723075', ' 18697214', ' 25307283', ' 23698468', ' 12374742', ' 23076141', ' 23405166', ' 32169902', ' 19438744', ' 33807514', ' 21988832', ' 15806142', ' 14670976', ' 30787326', ' 31268348', ' 22994762', ' 15772651', ' 30925865', ' 25516595', ' 30947018', ' 29626215', ' 19961433', ' 21532619', ' 18781140', ' 23703321', ' 23770849', ' 9151685', ' 25525879', ' 28700998', ' 34280336', ' 26112958', ' 19596000', ' 29278704', ' 23284848', ' 12024216', ' 24861260', ' 29021520']
Q9NP08	[' 33326746', ' 15815621', ' 29140751', '1360670', ' 18423520', ' 32552830', ' 10206974', '21417677']
Q9NUX5	[' 32687062', ' 32414627', ' 20211137', ' 22579284', ' 12781132', ' 15489334', ' 25194444', ' 27528712', ' 25934589', ' 15657433', ' 24686846', ' 20651253', ' 20711500', ' 21044950', ' 29523635', ' 31847782', ' 22460582', ' 21048031', ' 27013236', ' 31254473', ' 33941849', ' 32283231', ' 14715659', ' 16314528', ' 15316005', ' 32907878', ' 14702039', ' 20231318', ' 26105212', ' 21778296', ' 20551483', ' 16189514', ' 18066078', ' 15632080', ' 19812417', ' 25593184', ' 8794855', ' 23502782', ' 26496610', ' 27396482', ' 31278054', ' 25416956', ' 18519588', ' 21684252', ' 17848914', ' 19766477', ' 20549820', ' 16043710', ' 23926102', ' 29774655', ' 16079285', ' 24115439', ' 24892036', ' 18955498', ' 24054699', ' 6693436', ' 25665578', ' 28334750', ' 2342578', ' 23616058', ' 19262689', ' 17237767', ' 30451293', ' 31723267', ' 28393832', ' 20524933', ' 29227966', ' 33073402', ' 26403419', ' 31937561', ' 20056641', ' 17974005', ' 23604072', ' 9822671', ' 33673424', ' 15060173', ' 20404094', ' 15792951', ' 16166375', ' 20080730', '11349150', ' 21399625', ' 27559927', ' 19648609', ' 25271372', ' 20811636', ' 24631651', ' 23657261', ' 15181449', ' 12768206', ' 10669743', ' 24516170', ' 33624913', ' 20008939', ' 26055325', ' 19734539', ' 21461822', ' 31014199', ' 24686849', ' 21209389', ' 32232414', ' 19651898', ' 27173378', ' 27226433', ' 19424630', ' 24038470', ' 19285750', ' 17452644', ' 28643740', ' 32172474', ' 18922974', ' 18178559', ' 19179534', ' 20937264', ' 15620654', ' 17543860', ' 21988832', ' 27849570', ' 33549587', ' 23103865', ' 33782098', ' 15189140', ' 28854357', ' 28393830', ' 25128433', ' 25482530', ' 21183684', ' 31383750', ' 31685617', '10329413', ' 33122293', ' 15231715', ' 29693246', ' 32040538', ' 24239198', ' 18425352', ' 8954124', ' 12853948', ' 34769003', ' 25620558', ' 14744765', ' 18593712', ' 15007108', ' 15558049', ' 22336916', ' 26365187', ' 15383534', ' 1974050', ' 19773453', ' 19625176', ' 19854130', ' 25263700', ' 16030011', ' 2392154', ' 34850123', ' 29546066', ' 17632522', ' 17512402', ' 17237768', ' 31510873', ' 20639858', ' 32976206', ' 19170196', ' 27869160', ' 17172855', ' 30026550', ' 20094033', ' 28425274', ' 19692168', ' 16522649', ' 22871736', ' 33420369', ' 34534331', ' 12391173', ' 33934394', ' 15973431']
Q3T8J9	[' 32722282', ' 18985028', ' 10997877', ' 19413330', ' 27312530', ' 15489334', '11230166', ' 23414517', '17297563', ' 21406692', ' 20379614', ' 21454521', ' 25339177', ' 23186163', ' 16710414']
O15226	[' 15489334', ' 21903422', ' 12381793', '16147992', ' 22028648', '10562553', ' 24947832', ' 24462208', ' 32179686', ' 25665578', ' 25609649', ' 21269460', ' 23186163', ' 23853584', ' 20562859', ' 21900206', ' 21182203', ' 22810585', ' 9224902', ' 26496610', ' 28112733', ' 15772651', ' 26638075', ' 22505256', ' 25218447', ' 12429849']
P18848	[' 33819187', ' 26648175', ' 34239013', ' 29059168', ' 15489334', ' 12812986', ' 31862913', ' 32132707', ' 28380427', ' 3194391', ' 33870911', ' 17369260', ' 23975372', ' 27010621', ' 20514020', ' 21244365', ' 31691973', ' 28566324', ' 19193809', ' 17346882', ' 33414424', ' 31424999', ' 30926605', ' 32312748', ' 27357269', ' 22007000', ' 18255255', ' 23392669', ' 26504039', ' 24021586', ' 32132706', ' 22819556', ' 26667036', ' 31448831', ' 31534554', ' 27796753', ' 32888357', ' 22974638', ' 22485215', ' 18189280', ' 33737080', ' 22802018', ' 32132035', ' 15314157', ' 27278863', ' 21951999', ' 29420561', ' 29453334', ' 20185790', ' 2664463', ' 33198401', ' 17707795', ' 15385533', ' 9488481', ' 16912112', ' 28553953', ' 32945472', ' 34015761', ' 8336711', ' 23269699', ' 25449779', ' 25142020', ' 14742429', ' 28112733', ' 22082360', ' 15277680', ' 27567537', ' 33714955', ' 19453261', ' 25171414', ' 25416956', ' 14973138', ' 27328454', ' 11106749', ' 21087962', ' 29921696', ' 33837631', ' 23339444', ' 22016052', ' 31263264', ' 34808500', ' 8181673', ' 33108704', ' 19017641', ' 15109498', ' 17996332', ' 32551949', ' 16989641', ' 15461802', ' 24715035', ' 31642559', ' 17267404', ' 18195013', ' 31444471', ' 21966512', ' 20423929', ' 20732869', ' 22246806', ' 25375376', ' 1400365', ' 14695168', ' 25795775', ' 28688763', ' 28843961', ' 26086088', ' 18635891', ' 31960438', ' 20873783', ' 26111340', ' 15911876', ' 26125799', ' 30424508', ' 15479734', ' 30854784', ' 16343488', ' 26172539', ' 26771712', ' 2516827', ' 27321283', ' 20564243', ' 29716673', ' 23153536', ' 29421327', ' 22435535', ' 20473272', ' 29555819', ' 12860379', ' 32210535', ' 33582407', ' 24681956', ' 25727012', ' 14747470', ' 24905361', ' 29413899', ' 24874742', ' 32052937', ' 25633195', ' 9211906', ' 1534408', ' 22848420', ' 23908598', ' 10958673', ' 12743605', ' 15775988', ' 18840095', ' 23242184', ' 23241898', ' 23123191', ' 23294542', ' 31023583', ' 22813743', ' 21203563', ' 9153226', ' 28438094', ' 20592469', ' 31930117', ' 34403810', ' 33628101', ' 15677469', ' 33154371', ' 30003094', ' 31551255', ' 22050711', ' 26030745', ' 11677247', ' 33615565', ' 22691366', ' 27526673', ' 14729979', ' 16026328', ' 18451308', ' 20102225', ' 20361218', ' 33782384', ' 32299090', ' 12667446', ' 25241761', ' 22052162', ' 20022965', ' 24308964', ' 30382797', ' 8754828', ' 16682973', ' 19946894', ' 18697751', ' 22955275', ' 25130172', ' 33384352', ' 18285520', ' 17347301', ' 25931127', ' 22338651', ' 28975618', ' 32323565', ' 22363646', ' 17938202', ' 19073601', ' 21988832', ' 30012564', ' 21866569', ' 22422769', ' 12083523', ' 28947141', ' 29101239', ' 33775689', ' 18171674', ' 24418603', ' 17726049', ' 18940792', ' 25002527', ' 11238952', ' 26359495', ' 21044953', ' 25236743', ' 19855386', ' 19114033', ' 23471465', ' 16219772', ' 15781252', ' 11018027', ' 21683813', ' 30209241', ' 29991528', ' 22233381', ' 26011642', ' 30551605', ' 20551969', ' 25218447', ' 32938922', ' 23891064', ' 23792164', ' 23761072', ' 29431743', ' 22915762', ' 26884600', ' 30044122', ' 24853302', ' 27935748', ' 26791102', ' 30012221', ' 30452882', ' 33420908', ' 27079961', ' 22978410', ' 29207036', ' 34298014', ' 23916134', ' 16931790', ' 32668192', ' 19509279', ' 11960987', ' 19251251', ' 27211800', ' 30100064', ' 12840028', ' 23907468', ' 11241327', ' 21801305', ' 23001845', ' 28988820', '10085237', ' 16169070', '1847461', ' 14630918', ' 2663993', ' 27629041', ' 20936779', ' 25567807', ' 10591208', ' 3260265', ' 25096061', ' 27651314', ' 11163539', ' 10982836', ' 19417138', ' 17684156', ' 32755585', ' 26797758', ' 22609407', ' 33911065', ' 33229544', ' 18408768', ' 21408167', ' 18163433', ' 17140605', ' 28460466', ' 24100623', ' 21113145', ' 19447967', ' 23205607', ' 31033440', ' 31504800', ' 17822787', ' 25078779', ' 16687408', ' 33946018', ' 32648994', ' 24330582', ' 20068231', ' 31312022', ' 26239904', ' 23090478', ' 20724472', ' 27325740']
Q9UKL3	[' 19615980', ' 15489334', ' 32804017', ' 15069192', ' 23086935', ' 23673342', ' 19549727', ' 25530566', ' ', ' 14574404', ' 17696945', ' 19690332', ' 22028648', ' 25339177', ' 18677100', ' 17003125', ' 15592525', ' 20109966', ' 18038312', ' 22595458', ' 20711500', ' 18408764', ' 19854135', ' 21338522', ' 21696825', ' 25599959', ' 17245429', ' 19573080', ' 19773279', ' 17525332', ' 23953914', ' 21725362', ' 24941917', ' 23186163', ' 32722282', ' 20237496', ' 20936779', ' 14702039', ' 22216762', ' 24397596', ' 28289156', '10718198', ' 17003126', ' 12168954', ' 16627760', ' 29020104', ' 21245389', ' 19406988', ' 31819999', '10235259', ' 21988832', ' 19546234', ' 15698540', ' 25238250', ' 19414860', ' 26496610', ' 10537104', ' 32910455', ' 20068231', ' 23071092', ' 12477726']
Q96SN8	[' 21297427', ' 28778786', ' 23769972', ' 15489334', ' 20200978', ' 23414517', ' 25657325', ' 28320860', ' 26482847', ' 20399632', ' 20711500', ' 15793586', ' 24469809', ' 12221128', ' 14702039', ' 21620453', ' 7790358', ' 24089205', ' 16890155', ' 16357211', ' 22806269', ' 19282672', ' 18615013', ' 24231678', ' 21422230', ' 23874654', ' 29054927', ' 26496610', ' 31974111', ' 12207013', ' 15164053', ' 23141531', ' 21548880', ' 11956313', ' 20558667', ' ', ' 33725591', ' 23747070', ' 20139723', ' 12852856', ' 21269460', ' 24053599', ' 18694559', ' 26987684', ' 25532896', ' 20230748', ' 22179047', ' 17974005', ' 19119138', ' 23530209', ' 32610146', ' 20466722', ' 23587236', ' 24466316', ' 23141541', ' 23400999', ' 10721722', ' 22653444', ' 29360470', ' 17574030', ' 26197979', ' 28004182', ' 23921553', ' 19690332', ' 12421765', ' 20360068', '10997877', ' 33046744', '11076968', ' 24982133', ' 29162697', ' 20201926', ' 13678582', ' 18042621', ' 23186163', ' 19553473', ' 21988832', ' 26485573', ' 21346412', ' 15498487', ' 21512315', ' 18037885', ' 18669648', ' 7769006', ' 15705883', ' 21150319', ' 19004860', ' 21792235', ' 19940019', ' 20080800', ' 21273506', ' 19543530', ' 22094468', ' 26550838', ' 23253480', ' 16631324', ' 17959831', ' 25503564', ' 17719545', ' 16169070', ' 18566290', ' 25313408', ' 8838651', ' 28883092', ' 32015000', ' 21347367', ' 14654843', ' 24782177', ' 24816561', ' 29271474', ' 23789104', ' 33170211', ' 21565611', ' 16462731', ' 23455922', ' 25047611', ' 26192437', ' 26638075', ' 20068231', ' 23348840', ' 21725307', ' 17646400', ' 14580337']
P49715	[' 26996668', ' 25014773', ' 20137111', ' 33150481', ' 17671232', ' 15983063', ' 16537832', ' 25079101', ' 19672300', ' 23001182', ' 21689417', ' 15340105', ' 20038735', ' 15078966', ' 24379003', ' 21503969', ' 19623175', ' 26823765', ' 20456351', ' 9611252', ' 17637739', ' 20439648', ' 20625112', ' 17372916', ' 27779233', ' 21326902', ' 25824695', ' 22355045', ' 12970736', ' 33471067', ' 12213831', ' 31784538', ' 11369759', ' 19277035', ' 25078430', ' 26966090', ' 20723288', ' 19583951', ' 11279134', ' 25726912', ' 20889924', ' 25258381', ' 21134981', ' 24164801', ' 20347819', ' 17097562', ' 21869759', ' 23473759', ' 32135624', ' 19059241', ' 33445848', ' 15107404', ' 30738458', ' 31829168', ' 19304957', ' 26500142', ' 21346772', ' 22391813', ' 12915572', ' 26847745', ' 27297623', ' 14627805', ' 19561324', ' 24033149', ' 18182175', ' 26679606', ' 31015230', ' 20460359', ' 23541085', ' 30033148', ' 24947179', ' 28652211', ' 20032083', ' 19953636', ' 15674366', ' 22349414', ' 20887958', ' 12493739', ' 28663557', ' 17671234', ' 8680485', ' 16893891', ' 21345218', ' 23974200', ' 12869508', ' 26721895', ' 22442349', ' 20510075', ' 25534203', ' 12145325', ' 11242107', ' 15150264', ' 16325577', ' 26025484', ' 12829629', '7575576', ' 19662097', ' 26408402', ' 1527059', ' 29431622', ' 14636649', ' 15855281', ' 28179278', ' 12692227', ' 12592334', ' 12410800', ' 20924107', ' 17431401', ' 9012825', ' 12091339', ' 25753223', ' 26460249', ' 21471526', ' 18481268', ' 14737106', ' 20075868', ' 22371011', ' 25982911', ' 15664994', ' 28784648', ' 15746035', ' 12511558', ' 30430607', ' 16054042', ' 12393450', ' 34288448', ' 20581311', ' 22260161', ' 9177240', ' 20513120', ' 25920395', ' 7557387', ' 23716546', ' 17554374', ' 19121862', ' 28250006', ' 19221039', ' 22851180', ' 24284203', ' 30552141', ' 19054766', ' 19965647', ' 18559874', ' 19608861', ' 18308386', ' 24516045', '10233885', ' 12730330', ' 32703401', ' 22474248', ' 25227715', ' 33831168', ' 15479564', ' 20495894', ' 26704017', ' 28112733', ' 31387550', ' 26324181', ' 25468431', ' 17855628', ' 1840554', ' 30643190', ' 23932747', ' 27688151', ' 32447933', ' 23673926', ' 20157332', ' 27131901', ' 19351817', ' 31512996', ' 27591677', ' 19126543', ' 7531665', ' 20368538', ' 26722507', ' 24584857', ' 33170359', ' 20371743', ' 22362118', ' 22981865', ' 29980791', ' 24877091', ' 26053097', ' 22649106', ' 17989362', ' 20421268', ' 28720765', ' 25252716', ' 18809607', ' 21177436', ' 14766209', ' 32623605', ' 24359396', ' 20536385', ' 22689263', ' 20102225', ' 23590662', ' 19901962', ' 19035457', ' 11809705', ' 15057824', ' 19171880', ' 11929766', ' 17347301', ' 20622021', ' 25363290', ' 12069855', ' 21734268', ' 20492756', ' 16644732', ' 33914855', ' 27034432', ' 23340802', ' 16446383', ' 18414493', ' 19544470', ' 19731081', ' 25701464', ' 24551078', ' 23521373', ' 20018373', ' 27050434', ' 20661648', ' 17060461', ' 21993314', ' 25611491', ' 25938608', ' 18313667', ' 20101026', ' 27040395', ' 16858416', ' 24244375', ' 29025912', ' 15928042', ' 27041596', ' 12522000', ' 21109558', ' 15777798', ' 11867521', ' 12594283', ' 20368469', ' 19644139', ' 24801015', ' 32430494', ' 18024476', ' 24752325', ' 8643605', ' 11997389', ' 31533028', ' 14656889', ' 19523687', ' 29159818', ' 25987038', ' 20817090', ' 27447460', ' 33550446', ' 16807249', ' 30387140', ' 11672531', ' 20534483', ' 34226527', ' 30550771', ' 23239344', ' 16788101', ' 28341486', ' 21674360', ' 27600951', ' 18931025', ' 15867211', ' 24038216', ' 12036869', ' 12080077', ' 22389883', ' 34002296', ' 9065481', ' 19228936', ' 23252456', ' 32495317', ' 25193961', ' 17562868', ' 18263877', ' 22869521', ' 21403128', ' 14701740', ' 22990006', ' 27375010', ' 22170698', ' 20888888', ' 18616509', ' 18524846', ' 16873674', ' 16380219', ' 20927134', ' 23233059', ' 12522006', ' 12692518', ' 22269963', ' 20671051', ' 28900037', ' 25932436', ' 24329600', ' 21038412', ' 12011976', ' 34087345', ' 14726504', ' 33326746', ' 24107992', ' 26455797', ' 18663475', ' 20659895', ' 27005833', ' 21399661', ' 19536888', ' 18660489', ' 20884804', ' 26537612', ' 16983342', ' 15572670', ' 17082780', ' 26264132', ' 23898169', ' 10921906', ' 29180507', ' 31692040', ' 27602952', ' 19059939', ' 17851556', ' 23666693', ' 25895816', ' 12554785', ' 11340171', ' 18729193', ' 11830484', ' 11684017', ' 12661007', ' 12825852', ' 30061199', ' 8695841', ' 16076867', ' 29947237', ' 22451420', ' 17190859', ' 17504763', ' 18949049', ' 29773598', ' 21737519', ' 17203171', ' 19089912', ' 17011499', ' 20410507', ' 16455947', ' 22398723', ' 31041512', ' 19811452', ' 21880716', ' 8846917', ' 18786141', ' 24703161', ' 18450602', ' 15489334', ' 18451139', ' 24868087', ' 24054719', ' 31547433', ' 15575056', ' 24580717', ' 15277525', ' 20176812', ' 16751774', ' 12702500', ' 23814099', ' 22731647', ' 26762974', ' 18302931', ' 10330422', ' 31373033', ' 23833041', ' 10725330', ' 23598402', ' 21389317', ' 15850785', ' 30852139', ' 19453261', ' 26162409', ' 30201598', ' 28640877', ' 27644413', ' 14517214', ' 23100311', ' 24569775', ' 8770873', ' 12695546', ' 10913181', ' 19651529', ' 28665611', ' 20628397', ' 31309149', ' 26397153', ' 28954935', ' 21410980', ' 28895127', ' 26450928', ' 31666608', ' 8415748', ' 19797526', ' 22013073', ' 33770473', ' 21538063', ' 12351377', ' 24913332', ' 11912209', ' 11872672', ' 19347879', ' 29464001', ' 18776924', ' 24481728', ' 21619898', ' 27923061', ' 15604894', ' 22456356', ' 30984536', ' 25512613', ' 17475913', ' 19659458', ' 8325954', ' 16226872', ' 24056881', ' 14660596', ' 21988832', ' 16490787', ' 19371798', ' 21362229', ' 17671233', ' 20306678', ' 32034145', ' 9743535', ' 17188819', ' 31646559', ' 25218447', ' 21402921', ' 18765514', ' 25400766', ' 32330454', ' 24648007', ' 12242300', ' 8754811', ' 19020539', ' 31092334', ' 18587575', ' 28031487', ' 23816696', ' 24658403', ' 32593213', ' 27436336', ' 15684384', ' 30254053', ' 27143256', ' 15919796', ' 18757096', ' 17063141', ' 23437297', ' 18768433', ' 19289855', ' 29806051', ' 29566023', ' 24076158', ' 9915821']
